gaia_dr3_id,log_bf_PR,log_bf_PR_std,period,period_std,ra,dec,bp_rp,mean_mag_g_fov,quaia_unwise_id,CatNorth_CATWISE2020_id,CatNorth_PS1_id,AllWISE,AllWISE_R90_id,AllWISE_C75_id,Milliquas_v65_id,SDSS_DR14Q_id,LQAC_v5,Gaia_unWISE_id
723111620351503872,3.277015044234175,1.9623191687456494,581.1551882013374,21.226380153655743,159.70301744792135,22.78713249199278,0.5159111,19.788948,1596p227o0011595,1596p227_b0-003295,135341597030245121,J103848.74+224713.8,J103848.74+224713.8,J103848.74+224713.8,WISEA J103848.74+224713.8,,,1596p227o0011595
725854111588717952,4.915239969354244,3.853796812181673,533.2151250582153,7.380065889136473,156.44284286245798,24.366576135617155,0.71465683,19.310942,1568p242o0013398,1568p242_b0-005711,137241564428970440,,J102546.27+242159.7,J102546.27+242159.7,SDSS J102546.28+242159.6,102546.28+242159.6,LQAC_156+024_031,1568p242o0013398
5684443092326077056,3.429211802838,1.4107700959649834,128.3484854057433,0.9628602391521576,147.25376776325908,-16.945696722128254,0.7321186,20.200605,1477m167o0008768,1477m167_b0-017049,87661472538785509,,J094900.89-165644.7,J094900.89-165644.7,,,,1477m167o0008768
5690069327684946304,3.2167343439670937,1.7251071676665135,288.8478794391666,5.93249971044379,143.27190295652653,-13.113081100710861,0.7125397,19.157104,1427m137o0022977,1427m137_b0-005700,92261432719504654,J093305.24-130647.0,J093305.24-130647.0,J093305.24-130647.0,WISEA J093305.24-130647.0,,,1427m137o0022977
5752737951415670272,4.464282472834976,2.7856270994271384,404.11097306033673,5.946920933213003,124.60253945221494,-8.98529309820159,0.6990452,19.669811,1240m091o0048007,1240m091_b0-010309,97211246025808033,J081824.64-085907.2,J081824.64-085907.2,J081824.64-085907.2,WISEA J081824.64-085907.2,,,1240m091o0048007
5775175242825897344,3.200999689122271,1.3131495954398738,590.123796432281,15.129248130885962,247.6730699261512,-80.85236801202915,0.75211143,18.442802,2427m803o0004781,,,J163041.53-805108.5,J163041.53-805108.5,J163041.53-805108.5,WISEA J163041.53-805108.5,,,2427m803o0004781
732279794980509184,3.7007260324117706,1.6842931160173655,358.90900370613895,6.503542531108535,165.72341003902926,28.962838823244503,0.6900635,20.109655,1662p287o0014422,1662p287_b0-008430,142751657234395978,,J110253.66+285746.6,J110253.66+285746.6,SDSS J110253.62+285746.2,110253.62+285746.2,LQAC_165+028_045,1662p287o0014422
6150437251416818048,3.399278041117514,1.3163960576113043,535.1538371452004,8.208299502344264,188.0769090967573,-38.456271881581614,0.65532684,18.787582,1875m379o0040796,,,J123218.46-382722.4,J123218.46-382722.4,J123218.46-382722.4,WISEA J123218.46-382722.4,,,1875m379o0040796
6213080659394764160,3.1350195938619647,1.5765819283766678,160.89577515702214,2.6055802096158023,229.82990633122134,-28.569352381885423,0.9892616,20.230028,2297m288o0023573,2297m288_b0-012283,73712298299567065,,J151919.19-283410.1,J151919.19-283410.1,,,,2297m288o0023573
6280826754807669248,3.70509161615199,1.9627990544107945,500.30163399955825,7.233876201710647,222.35114876586277,-19.62279448186714,0.839962,19.22379,2224m197o0014009,2224m197_b0-008716,84452223511593067,J144924.27-193722.1,J144924.27-193722.1,J144924.27-193722.1,WISEA J144924.27-193722.1,,,2224m197o0014009
6283888379294255232,3.124579737362376,1.597572401332338,394.399752991995,8.778575358832107,215.56530787119908,-19.309070793380158,0.7488823,19.86968,2160m197o0019873,2160m197_b0-002512,84822155653349523,J142215.67-191832.6,J142215.67-191832.6,J142215.67-191832.6,SDSS J142215.66-191832.6,,,2160m197o0019873
6326313241609881216,3.600315679274475,2.0031715462768838,206.26022766034518,1.6425941858856559,223.33442894931648,-9.321124302527242,0.7048969,19.590809,2236m091o0009128,2236m091_b0-006671,96812233344285040,J145320.25-091915.9,J145320.25-091915.9,J145320.25-091915.9,WISEA J145320.25-091915.9,,,2236m091o0009128
1463154036144153728,3.6406726423294815,1.7716924197442707,356.58761260099175,5.090392530801249,200.31791424792792,30.70496041367797,0.6209774,19.348932,2000p302o0031191,2000p302_b0-005418,144842003178836552,,J132116.23+304216.7,J132116.23+304216.7,SDSS J132116.30+304217.8,,,2000p302o0031191
6413283821094369664,4.40481237698625,2.6015994895630117,554.6736085115219,6.706980311265591,277.55948099709394,-77.05294237251067,0.86847496,18.817213,2764m773o0024724,,,J183014.28-770310.5,J183014.28-770310.5,J183014.28-770310.5,WISEA J183014.28-770310.5,,,2764m773o0024724
759562354957497984,3.1314314035801067,1.5182005387762738,454.39505475496475,13.289341836780116,173.66513607108325,35.11328296211852,0.38829613,19.946768,1736p348o0015927,1736p348_b0-018116,150131736651816618,,,J113439.64+350647.1,SDSS J113439.63+350647.8,,,1736p348o0015927
6465988361214835200,3.733936692704933,1.61541571245442,596.5559913069912,27.339498249611587,323.31701066100663,-50.43347507355908,0.6612816,20.700825,,,,,J213316.06-502600.5,J213316.06-502600.5,,,,3228m500o0005989
6483199772639573888,3.9092542980905374,1.560730163478118,366.44038284312205,8.918101770778339,315.6538111423989,-46.1168452896414,0.7424736,19.541134,3152m455o0002048,,,,J210236.95-460700.5,J210236.95-460700.5,,,,3152m455o0002048
6497648592378559360,3.248467415366815,1.50833085854668,537.0458683131926,16.40600120611606,355.1010245406042,-55.16509015332116,0.45623398,20.509851,,,,,J234024.17-550954.4,J234024.17-550954.4,J234024.24-550954.3,,,3548m546o0002556
